"","Cav1.TGFB1","Cav1.TGFB2","Cav1.TGFB3","Cav1.Ctrl1","Cav1.Ctrl2","Cav1.Ctrl3","Con1.TGFB1","Con1.TGFB2","Con1.TGFB3","Con1.Ctrl1","Con1.Ctrl2","Con1.Ctrl3"
"10517301",10.1914298276742,10.3152706039048,10.2719967853291,10.8137224707647,10.8415349627753,10.9224928182694,10.310945379471,10.3767388035684,10.2463876252289,10.8925414643226,10.7516345418831,10.8289647874566
"10503723",8.97391825847926,8.7094910941911,8.81618972724419,8.39346091487508,8.38466024090628,8.76173824018494,8.80687185082686,8.57579020212055,8.80404308349005,8.41160413752253,8.46278852525161,8.84047815738222
"10351880",5.09200798793699,5.07753136047347,5.20014100551565,4.93556208328747,5.3230854763889,5.29617984108524,4.76392272051545,4.83118327638334,4.79666282190981,5.01229076013162,4.75808425142841,4.84686606211018
"10379727",7.10569577143103,6.29385850259805,5.92766780065311,6.71208341016899,6.31692982433038,5.9767866810426,6.85327356161143,6.2894182317463,5.98458328510215,6.95104058923813,6.67565057657455,5.95802112818255
"10585180",6.52202949740689,6.78244755035327,6.81623263399902,6.22738163258055,6.10048591801335,5.99213202673584,6.5074208833457,6.50155287141939,6.49866448233369,5.92568260418041,6.34385461762552,5.99561716030096
"10501315",6.67953179280182,6.80099887409493,6.80098012840217,7.02351350742806,7.07861513685617,6.52377127912111,6.69514292716776,6.84978353672758,7.03127696680074,6.96459401463831,6.85795701823589,6.49423755104474
"10578950",5.14952522269423,5.07230026590704,4.79836812252928,6.34712224683295,6.37559595415595,7.38883227113591,4.6354542764832,5.16765012659304,4.59092652548675,5.79331381279533,6.14131101582199,5.5837204199608
"10366864",6.29360452824899,6.46444020556351,6.63181405434444,6.13896663909394,6.09170648416567,6.62726284404932,6.24863787124536,6.46842452606564,6.5863431961507,6.25506773024129,6.27531206019463,6.85324178580037
"10463343",5.5488938342904,5.79376538947821,5.70260436771798,7.06634535476688,6.62419085054996,7.30478577000796,5.55540179787034,6.09005130489756,5.93165612951644,6.66114563489451,6.96923338710279,7.07126696039846
"10429856",6.37403780671108,6.29021720579961,6.07587066168728,7.53031049165635,7.2540719393831,7.55884090722802,6.53595875956614,6.27792458976643,6.33391048862013,6.99626373700678,6.73410680705166,6.65079236851983
"10510047",6.44238039827503,6.57796928084756,6.33348688030353,6.83142414417303,6.83088067529156,7.00805144949041,6.61255873462509,6.6450408692365,6.52879924717862,6.70796490733694,6.8532646064436,6.82962322536961
"10352794",7.0555663179606,6.88784604167753,6.8674151424273,7.19103465468189,7.13419681822805,7.06122099141468,6.9679957475562,6.84171418108894,7.03803145652032,7.21232330951191,7.25183362598529,7.31216526022752
"10369102",8.93318159673136,8.75951870201218,8.9879097947741,9.50340807232536,9.91067304901054,9.79550247594905,9.07627645324959,8.85634038844516,8.86715614883391,9.71833384980444,9.95912303859986,9.68316500113985
"10589464",7.3629675840979,7.41359029483949,7.25042534951644,6.94968805211197,6.88894487860065,7.5279534599083,7.06102044565763,7.16094686630846,7.35978601892948,6.9092756785934,7.16683901163435,7.45917182429553
"10453553",8.73023006426927,8.84807650914751,9.35325419285864,8.04809488262682,8.22235559068114,8.17366243640288,8.54162116972594,8.5677829370264,8.78907575081623,8.19183135919777,8.20313559440534,8.1816185403184
"10362102",7.2082969501341,6.98343675725047,6.92104863529072,6.80066033809704,6.79573250921281,6.67297423981262,7.02958809893087,7.055361358099,6.98273488317367,6.71439068369388,6.59407875278009,6.5678331140108
"10596671",6.75163883910294,6.98247756677209,6.9856696936949,6.58795283023791,6.58901195626687,6.58416753591324,6.89805950018982,7.00780812438755,7.04931387114704,6.53615270795251,6.56898383811114,6.71693591205999
"10353036",7.52682121737216,7.66191503889771,7.51189431958384,7.80171808005272,8.57885288092485,8.39214641067324,7.56407982498427,7.95041740828875,7.72306140495661,7.90147789137933,8.8161176292419,8.32287232712768
"10512594",9.07045478634046,9.10645890795781,9.29720849310739,8.59395865738986,8.32518953131002,8.6580014740109,9.07453629887874,8.97432127710626,9.16004897877948,8.5161759517879,8.59717863497723,8.8754370425796
"10406823",8.84892770390899,7.88593154842163,7.13249800259869,8.30586216872289,8.07916792433976,7.1618672163078,9.31938438804959,8.24967612973028,7.36003286104405,8.50187419412431,8.23846534271055,7.43301498534612
"10351380",7.83482488885432,7.50313744369075,7.39465657789093,8.84604084520636,8.92824813267174,8.74137972176512,8.09710026222577,7.93571698138613,7.93346982558025,9.50851855117903,9.77632542374997,9.61620359171244
"10440711",4.77424333897487,4.68945943441392,4.54654781035728,4.53237132506287,4.28294457216834,4.46360443758984,4.53266558451974,4.74732776527722,4.65335997917227,4.56369368545167,4.33940453873238,4.27242722948211
"10368700",8.14688029552679,8.04353513091558,7.83711039334091,9.01644201414673,9.05305409864346,9.0295544683137,8.35312418456613,8.40201117069605,8.0729476458106,9.05184653553933,9.00835548830739,8.87129595878516
"10402783",9.22213700443061,9.90525445468647,10.3695284867404,9.44353209873786,9.7740763754921,10.08838102629,9.01841240800549,9.56638249411387,9.94644516423378,9.37461647824143,9.58506895471033,10.0085664002818
"10510159",3.56023415909983,3.52835494621646,3.4619362509617,3.48981805529769,3.60927951572467,3.72016642018969,3.77770836217895,3.87729363387967,3.83907898037896,3.7150679684201,3.89194376051931,3.85081379747881
"10490843",4.95676304766513,4.87930632386949,4.62402745333442,4.64823717564113,4.98686206249812,4.96880737825991,4.97616433055363,4.63631933125483,4.90009511528576,4.85051192744358,4.95209361992835,4.59261248473784
"10523746",8.50221243115088,8.22476104084774,8.30790196612526,7.78217583815553,7.99475647936293,8.17646980050453,8.36367270351543,8.16440210737697,8.29178592440956,7.99323497607323,8.07431095399106,8.40746112809518
"10487506",8.16856605529575,8.47533863689466,8.68399283455006,6.87222110038715,6.5488557026701,7.52189574686663,7.73539296417184,8.24079639236306,8.34186383671085,6.37705315393053,6.52474466726716,7.0791379401452
"10478383",9.63414462129388,9.97014144028296,10.5836855805409,10.4079952075326,10.6537841415642,11.5800181804261,9.34445878331038,9.83026413526433,10.3050672676536,10.4415009275306,10.3050672676536,11.2716954013835
"10518812",7.46535480963863,7.95036434763867,8.21424968330978,6.99142352234869,6.87527307422048,6.69858556962197,7.62785824362871,7.89667141943962,7.72861973783028,6.63501799270103,6.80861024406092,6.64746258033741
"10506880",12.2260182875106,12.1993682900116,12.2225122759192,11.8976478750618,11.9018626759339,12.0402361502657,12.1983736140166,12.1968117194089,12.2144219288141,11.9421838624549,11.9186551509878,12.0107945124306
"10516894",9.59990558150836,9.54643573948662,9.62082854366325,9.16121994628286,9.21009961655024,9.23229678099504,9.57845617576085,9.52260909450901,9.4695420865729,9.26370330354511,9.22803726558785,9.17478170304791
"10514791",9.13445876647397,9.35387436030436,9.12478406107865,10.1603904210284,10.6970579463431,10.7446837949606,9.53235874035255,9.48165786751555,9.31305931584227,10.1029014887753,10.5141669226803,10.3948744517234
"10504672",10.1024359825008,10.1746987970336,10.373559210913,10.309550174092,10.4310425356758,10.68119937976,9.91656439783703,9.91262023401078,9.98887937579328,10.0958740367369,10.0541722446538,10.0060495341245
"10500845",6.29679951185448,6.3587553605645,6.56611005297324,5.91743538826922,5.89041895838935,6.8513871817447,5.75742975268119,6.20458243921149,6.47680606458193,5.45853791042933,6.50294877483318,6.81203390217404
"10510700",7.54104907880153,7.72665172043241,7.94985588918626,6.94741976138791,7.0511175416519,6.99215288929262,7.47055849926276,7.55385876381339,7.71653454361191,7.2057628837463,6.99438973741376,7.10205868681609
"10508974",10.2525911109347,10.2047968083403,10.3859178253377,10.7462121767356,10.6932804548394,10.770826788493,10.3647272131846,10.1968887589951,10.3270819823353,10.7218684473311,10.5359088846412,10.6688824319314
"10513666",9.77613894337228,10.0077764135725,10.2920445805171,7.37284101298963,7.65898054981874,7.45974915152221,9.79721105387163,9.99930177463009,10.2340180602628,7.68942232495522,7.53694008606276,7.63339337007909
"10503410",10.5958846766982,10.4836782615305,10.5702688485042,10.2927536284451,10.2182202935765,10.3017033873346,10.626454793163,10.6210484900289,10.6455561453047,10.3051620459557,10.3220482515469,10.3513774555252
"10375501",9.44318382430462,9.27344887921417,9.57744482025684,8.98314094894382,8.75691312277471,9.40128156153182,9.36892706612066,9.18904413637833,9.5119527492983,8.94171756954025,9.08304658600174,9.69036401108996
"10432178",6.43932387343689,6.44111136399105,6.49908243366684,5.97750725407548,5.89018804755962,6.85401735227956,6.22078578832085,6.20102324170867,6.47191226883812,5.92292887347848,6.24152018762582,6.87638158476947
"10450363",8.39741199659504,7.89590492984931,8.25025423026217,8.06992132213206,7.62056071189282,8.30490816592411,8.24337552796451,7.86355307708704,8.15524306114126,8.0741704875466,7.85984285608984,8.25074435145197
"10508723",9.72986493558877,9.4547892951541,9.76575727131332,9.28329819485066,9.36951853448603,9.40712260587137,9.7736928440512,9.3459827571809,9.71989334941935,9.33411109561128,9.40278308002588,9.39969783725978
"10586168",9.76107936472118,9.5107036188896,9.88544639594095,9.29699586551756,9.23465115429472,9.85475280611285,9.67738325908747,9.43286044396373,9.77593949371865,9.40337094193246,9.39664162447094,10.0559548523969
"10365003",7.17558362064581,7.12503768376703,7.49830565283707,6.80545236370415,6.75098636236878,7.53038837581045,7.29876059042309,7.1551924056809,7.56503595690042,6.7890157094586,7.19770836363776,7.84784536991719
"10446713",9.06351486510741,8.52031829672947,9.15137878626608,8.79458649235222,8.80071452810354,9.05876621238517,9.23502953498518,8.62151421944845,9.13507898236226,8.85195357173865,8.75559323389322,8.96239297480012
"10456717",6.94074371432803,6.58598433536942,6.74093349065578,6.16881192711446,5.94699217053132,6.79350545470091,6.50714516890229,6.83074423885094,6.73608186218413,6.19805025860602,6.76248926997519,7.33760446568106
"10492662",6.04618992382322,5.94348301765314,6.15124389472564,6.60516429953311,6.46899251042824,6.72296806051117,5.67110707231619,6.09258237903171,6.11054695074303,6.59359950905587,6.67407536045237,6.31684294783591
"10564520",7.88162741519339,7.68604102746863,7.97074184566057,7.03888741231005,7.53830556677651,8.14052591149398,7.66807000506288,7.60496765013054,7.79534721539165,7.21196402601591,7.6201489803855,8.0638946798439
"10584580",10.6429148085402,10.5802096295202,10.8724548278848,10.2498031492462,10.294928462125,10.8212159774149,10.5423337344698,10.4256809680483,10.8537573987954,10.1522019143469,10.3715899382779,10.794261253994
"10397275",7.91076141600866,8.83289614822295,9.70164127754023,7.27279303413612,7.48367910205291,7.14157501786868,7.70568684954538,8.04389539337415,8.4868572386157,7.33738760272768,7.26658785171246,7.52869952229608
"10356329",6.49054756422152,6.04866043683612,6.47533156659028,5.61628137958358,5.69589908095019,6.18408038295805,6.26447058045281,6.11329083702101,6.68908850236836,5.81890016913011,5.91694152821427,6.27889083747456
"10441813",6.87561350471689,6.97693864313952,7.12958645965413,7.21500304664435,6.77000523286395,7.58610274206874,7.12231008534667,6.85706410668205,7.19483114611263,6.64080726270704,6.85915422433337,7.38676843818904
"10508719",9.57980650910069,9.52841974770106,9.60943884229122,9.24986275763947,9.55009516950117,9.42958345056522,9.59942108836849,9.16521731330215,9.32471056777028,9.50705406540535,9.28920817170529,9.19349479751804
"10554547",5.93953384577708,5.65234338665049,5.70547448460704,5.38517061714067,5.5707249932684,6.15953519542748,5.19658847823638,5.50152897656431,5.85768510619418,5.66057317550079,5.97840979438912,6.20675238415689
"10398693",9.9293126837858,9.96400020901785,10.0941095307725,9.65153236860779,9.41779512925361,10.2475267102065,9.82959764099708,10.0361376500587,10.1624887370071,9.54001780435701,9.81836728343007,10.4525159601014
"10556244",9.66832585496681,9.46820397517298,9.78281970407194,9.40226217313895,9.20492272320365,9.9825438573101,9.60092327160374,9.35450385696488,9.81949225196379,9.33498319603018,9.41450506797045,10.1754512448725
"10410351",10.6823295473939,10.4881832465456,10.6703828175001,10.2800797488374,9.89786240405632,10.2315427164596,10.6791292838965,10.5096363117818,10.6204257173277,10.4557737168847,10.0668899402758,10.2231915053772
